,Unnamed: 0,Unnamed: 0.1,index,CourseName,SubjectName,TopicName,ChapterName,KSCText,QuestionId,imageHTML,UseAs,Q_Latex
54,54,54.0,125.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Endocrine Glands and Their Roles - 2,57806,,Trial,"Which of the following is both an endocrine and exocrine gland?
(A) Thyroid Gland
(B) Adrenal Glands
(C) Parathyroid Glands
(D) Pancrease"
56,56,56.0,130.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Mutation: Types,120813,,Trial,"Change in sequence of nucleotide in DNA is called as -
(A) Mutagen
(B) Mutation
(C) Recombination
(D) Translation"
59,59,59.0,139.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inheritance of Haemophilia,38515,,Trial,"Sickle cell anemia has not been eliminated from the African population because
(A) It is controlled by recessive genes
(B) It is not a fatal disease
(C) It provides immunity against malaria
(D) It is controlled by dominant genes"
63,63,63.0,152.0,7/8 CBSE,Biology,Diversity in Living Organism,Animal Kingdom,Arthropods 3: Arachnids,24093,,Trial,"The diagram shows four arthropods. How many of these arthropods are insects?
(A) 1
(B) 2
(C) 3
(D) 4
Carcinus \( \times 0.5 \)"
64,64,64.0,153.0,7/8 CBSE,Biology,Biology in Human Welfare,Human Health and Disease,Non- communicable Diseases,44819,,Trial,"The noble gas used for the treatment of cancer is
(A) Radon
(B) Krypton
(C) Argon
(D) Helium"
67,67,67.0,159.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Mutagens,38382,,Trial,"The title ""Artificial transmutation by X-rays"" was published by
(A) Morgan
(B) Muller
(C) Stadler
(D) DeVries"
71,71,71.0,166.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,X - chromosome linked inheritance,211376,,Trial,"A woman has an X-linked condition on one of her X chromosomes. This
chromosome can be inherited by [NEET 2018]
(A) Only grandchildren
(B) Only sons
(C) Only daughters
(D) Both sons and daughters"
76,76,76.0,185.0,7/8 CBSE,Biology,Human Physiology,Body fluids and circulation,Regulation of Heart Beat-2,37600,,Trial,"Vasoconstriction causes
(A) Increase in heart beat
(B) Decrease in heart beat
(C) Increase in blood pressure
(D) Decrease in blood pressure"
80,80,80.0,195.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Endocrine Glands and Their Roles - 2,160991,,Trial,"Which glands are responsible for the following disease?
(i) Goitre
(ii) Diabetes mellitus
(iii) Gigantism
(iv) Diabetes insipidus
(v) Cretinism"
81,81,81.0,199.0,7/8 CBSE,Biology,Human Physiology,Breathing and Exchange of Gases,Transportation of Carbon Dioxide-1,36139,,Trial,"Hiccough (hiccup) is due to activity of
(A) Intercostal muscle
(B) Food in air tract
(C) Diaphragm
(D) Inadequate oxygen in environment"
82,82,82.0,200.0,7/8 CBSE,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,52676,,Trial,"How many Biosphere Reserves are there in India?
(A) 20
(B) 18
(C) 10
(D) 40"
90,90,90.0,224.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Pheromones,36035,,Trial,"One of the following is pheromone :-
(A) Bombycol
(B) Cineton
(C) Geradiol
(D) All"
91,91,91.0,228.0,7/8 CBSE,Biology,Human Physiology,Neural Control and Coordination,Disorder of eye - 2,58356,,Trial,"In old age, the vision of eye becomes dim. It is due to
(A) Myopia
(B) Hypermetropia
(C) Cataract
(D) Astigmatism"
102,102,102.0,245.0,7/8 CBSE,Biology,Biology in Human Welfare,Human Health and Disease,Filariasis,34834,,Trial,"Which one is correct?
(A) Typhoid is caused by a worm
(B) Contaminated water causes filariasis
(C) Plague is caused by rat-flea
(D) Hepatitis shows urea accumulation in blood"
109,109,109.0,258.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Strength of linkage,39712,,Trial,"Mendelian dihybrid and dihybrid with linkage are respectively related with how many
chromosomes
(A) 1 pair \& 2 pair
(B) 2 pair \& 1 pair
(C) 2 pair \& 2 pair
(D) 1 pair \& 1 pair"
110,110,110.0,262.0,7/8 CBSE,Biology,Cell Structure and Function,Cell Cycle and Cell Division,History of Mitosis and Meiosis,139698,,Trial,"Asexual reproduction produces geneticallyidentical individuals because -
(A) Chromosome do not have to replicate
(B) It involves chromosome replication without cytokinesis
(C) No meiosis or fertilization takes place
(D) The only cell division that occurs in meiosis"
114,114,114.0,266.0,7/8 CBSE,Biology,Cell Structure and Function,Cell Cycle and Cell Division,History of cell cycle and G1 Phase,139787,,Trial,"In which phase of the cell cycle DNA doubles and chromosomes replicate?
(A) \( \mathrm{G}_{1} \) phase.
(B) S phase
(C) M phase.
(D) \( \mathrm{G}_{2} \) phase."
117,117,117.0,272.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Hypothalamus-1,122447,,Trial,"Which one of the following hormones though synthesised elsewhere, is
stored and released by the master gland?
(A) Melanocyte stimulating hormone
(B) Antidiuretic hormone
(C) Luteinizing hormone
(D) Prolactin"
122,122,122.0,280.0,7/8 CBSE,Biology,Genetics and Evolution,Molecular Basis of Inheritance,The lac operon,41469,,Trial,"According to Operon concept a regulator gene forms
(A) A general inhibitor
(B) A small peptide
(C) A repressor
(D) An inducer"
123,123,123.0,281.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Autosomal linked inheritance,39988,,Trial,"Down's syndrome is caused by an extra copy of chromosome number 21. What
percentage of offspring's produced by an affected mother and a normal father would
be affected by this disorder
(A) \( 50 \% \)
(B) \( 25 \% \)
(C) \( 100 \% \)
(D) \( 75 \% \)"
124,124,124.0,285.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Colorblindness,37803,,Trial,"Which one of the following diseases in man belongs to the same catagory as
haemophilia :-
(A) Hyper matropia
(B) Rabies
(C) Night blindness
(D) Colour blindness"
132,132,132.0,302.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Linkage and recombination,102264,,Trial,"The term ""linkage"" was coined by :NEET-2015
(A) TH Morgan
(B) T Boveri
(C) G Mendel
(D) W Sulton"
138,138,138.0,317.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inheritance of skin color in man - 2,39538,,Trial,"A woman with albinic father marries an albinic man. The proportion of her progeny is
(A) 2 normal: 1 albinic
(B) All normal
(C) All albinic
(D) 1 normal : 1 albinic"
141,141,141.0,326.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Polygenic Inheritance,38977,,Trial,"Polygenic genes show
(A) Identical phenotype
(B) Identical biochemistry
(C) Different phenotype
(D) Identical genotype"
144,144,144.0,337.0,7/8 CBSE,Biology,Ecology,Environmental Issues,Eco San Toilets,139145,,Trial,"There working, 'Eco San' toilets in any areas of
(A) Kerala
(B) Bihar
(C) Assam
(D) Mumbai"
147,147,147.0,343.0,7/8 CBSE,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,41131,,Trial,"First Biosphere Reserve was established in 1986 in India at
(A) Nilgiri
(B) Sundarbans
(C) Gulf of mynamar
(D) Nanda Devi"
149,149,149.0,345.0,7/8 CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,Bacteria: Role in Agriculture and Industry,60787,,Trial,"Which of the following is common to Azospirilium, Azotobacter, Anabaena, Nostoc
and Oscilatoria -
(A) Prokaryotes
(B) \( \mathrm{N}_{2} \) -fixers
(C) Both
(D) Eukaryotes"
159,159,159.0,366.0,7/8 CBSE,Biology,Diversity in Living Organism,Animal Kingdom,Arthropods 3: Arachnids,28459,,Trial,"Characteristic of class crustacea is \( \quad \) [AIIMS 2001]
(A) Cephalo thorax, biramous appendages and gills
(B) Head \& Thorax, book lung and chitinous exoskeleton
(C) Cephalthorax, book lungs and chitinous exoskeleton
(D) Head \& thorax, biramous appendages \& book lungs"
160,160,160.0,367.0,7/8 CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,Bacteria: Role in Agriculture and Industry,140699,,Trial,"Cow dung is appropriately used as
(A) Manure
(B) Fuel
(C) Medicine
(D) Building material"
167,167,167.0,385.0,7/8 CBSE,Biology,Human Physiology,Neural Control and Coordination,Eye structure,59387,,Trial,"Lacrimal glands are responsible for the secretion of
(A) Mucus
(B) Tears
(C) Hormones
(D) Enzymes"
169,169,169.0,387.0,7/8 CBSE,Biology,Reproduction,Human Reproduction,Cleavage: Planes of Cleavage -1,120349,,Trial,"A change in the amount of yolk and its distribution in the egg will effect:
(A) Fertilization
(B) Formation of zygote
(C) Pattern of cleavage
(D) Number of blastomeres produced"
177,177,177.0,406.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,X - chromosome linked inheritance,39696,,Trial,"A woman with normal vision, but whose father was colour blind, marries a colour
blind man. Suppose that the fourth child of this couple was a boy. This boy
(A) Must have normal colour vision
(B) May be colour blind or may be normal vision
Will be partially colour blind since he is heterozygous for the colour blind
(C) mutant allele
(D) Must be colour blind"
187,187,187.0,431.0,7/8 CBSE,Biology,Human Physiology,Breathing and Exchange of Gases,Pulmonary Capacities,63606,,Trial,"Number of RBCs per unit volume of blood is likely to be higher in a person living at
high attitudes, because-
(A) More sunshine is available
(B) Air clean and unpolluted
(C) Air is less dense
(D) Vegetation gives out more \( \mathrm{O}_{2} \)"
192,192,192.0,436.0,7/8 CBSE,Biology,Reproduction,Human Reproduction,Fertilization- 1,39141,,Trial,"External fertilization mostly occurs in those animal which
(A) Lay eggs in soil
(B) Lay egg in water
(C) Are viviparous
(D) Are oviparous"
193,193,193.0,437.0,7/8 CBSE,Biology,Genetics and Evolution,Molecular Basis of Inheritance,The lac operon,59894,,Trial,"In operon model, regulator gene functions as
(A) Represser
(B) Regulator
(C) Inhibitor
(D) All of these"
197,197,197.0,441.0,7/8 CBSE,Biology,Human Physiology,Body fluids and circulation,Regulation of Heart Beat-1,37431,,Trial,"If the vagus branch of frog is stimulate the heart will show
(A) Stoppage of heart beat
(B) Decreased heart beat
(C) Increased heart beat
(D) No change"
198,198,198.0,445.0,7/8 CBSE,Biology,Reproduction,Human Reproduction,Steps of fertilization-2,39443,,Trial,"Various changes in mammalian sperm which prepare it to fertilize the ovum are called:
(A) Capacitation
(B) Regeneration
(C) Growth
(D) None of these"
208,208,208.0,480.0,7/8 CBSE,Biology,Biology in Human Welfare,Human Health and Disease,Filariasis,34783,,Trial,"Causative organism for elephantiasis (filariasis)
(A) Entamoeba histolytica
(B) Trypanosoma
(C) Wuchereria bancrofti
(D) Retro virus"
213,213,213.0,493.0,7/8 CBSE,Biology,Biology in Human Welfare,Microbes in Human Welfare,Bacteria: Role in Agriculture and Industry,120539,,Trial,"Modern detergents contain enzyme preparations of:
(A) Thermoacidophiles
(B) Thermophiles
(C) Acidophiles
(D) Alkaliphiles"
218,218,218.0,501.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Endocrine Glands and Their Roles - 2,150442,,Trial,"Which of the following steroid sex hormone influence secondary sex organs
(A) progesterone
(B) estrogen
(C) LH
(D) GH"
220,220,220.0,503.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Parathyroid glands-1,114741,,Trial,"The pituitary gland by virtue of its tropic hormones controls the secretory
activity of other endocrine glands. Which one of the following endocrine
gland can function independently of the pituitary gland?
(A) Thyroid
(B) Gonads
(C) Adrenals
(D) Parathyroid"
225,225,225.0,508.0,7/8 CBSE,Biology,Human Physiology,Breathing and Exchange of Gases,Transportation of Carbon Dioxide -2,120714,,Trial,"Blood analysis of a patient reveals an unusually high quantity of carboxy-
haemoglobin content. Which of the following conclusions is most likelyto be
correct? The patient has been inhaling polluted air containing unusually
high content of -
(A) Chloroform
(B) Carbon dioxide
(C) Carbon monoxide
(D) Carbon disulphide"
243,243,243.0,540.0,7/8 CBSE,Biology,Human Physiology,Neural Control and Coordination,Disorder of eye - 2,151021,,Trial,"Astigmatism is develop when-
(A) Lens become opaque
(B) Curvature of conjunctiva is changed
(C) Lens become non-flexible
(D) Curvature of cornea is changed"
252,252,252.0,555.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Hormones secreted by posterior Lobe of Pituitary Gland,133209,,Trial,"Oxytocin is synthesized in
(A) Adenohypophysis
(B) Neurohypophysis
(C) Hypothalamas
(D) Epiphysis"
253,253,253.0,556.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Types of hormones based on their chemical nature,122464,,Trial,"Which one of the following hormones is a modified amino acid?
(A) Progesterone
(B) Prostaglandin
(C) Estrogen
(D) Epinephrine"
256,256,256.0,559.0,7/8 CBSE,Biology,Plant Physiology,Mineral Nutrition,Why plants need to fix nitrogen,41944,,Trial,"Nitrogen is a critical element in an ecosystem because
(A) It is labile element
(B) Its abundant amount present in atmosphere
(C) Nitrogen fixation takes place through microorganisms
(D) It is an essential plant element"
258,258,258.0,561.0,7/8 CBSE,Biology,Plant Physiology,Transport in Plants,Water available to plants,62920,,Trial,"Which of the following water comes under echards?
(A) Available to the plant
(B) Whole of the soil water
(C) Amount of water not available to the plant
(D) None of the above"
263,263,263.0,566.0,7/8 CBSE,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,60995,,Trial,"According to conservation biologists, how much of the Earth's land surface should be
strictly protected?
(A) \( 25 \% \)
(B) \( 5 \% \)
(C) \( 50 \% \)
(D) \( 10 \% \)"
266,266,266.0,572.0,7/8 CBSE,Biology,Human Physiology,Neural Control and Coordination,Parkinson's Disease,120692,,Trial,"Parkinson's disease (characterized by tremors and progressive rigidity of
limbs) is caused by degeneration of brain neurons that are involved in
movement control and make use of neurotransmitter -
(A) Norepinephrine
(B) Acetylcholine
(C) \( \quad \) GABA
(D) Dopamine"
269,269,269.0,575.0,7/8 CBSE,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inter-Chromosomal aberrations,113385,,Trial,"The formation of multivalents at meiosis in diploid organism is due to
(A) Monosomy
(B) Deletion
(C) Inversion
(D) Reciprocal translocation"
270,270,270.0,576.0,7/8 CBSE,Biology,Cell Structure and Function,Cell Cycle and Cell Division,S-phase and G2 phase,139745,,Trial,"The centrosome duplicates during the
(A) \( \mathrm{G}_{2} \) - phase of cell cycle
(B) \( \mathrm{S} \) - phase of cell cycle
(C) Prophase of cell cycle
(D) \( \mathrm{G}_{1} \) - phase of cell cycle"
271,271,271.0,577.0,7/8 CBSE,Biology,Human Physiology,Body fluids and circulation,Lymphatic Organs: Spleen,37516,,Trial,"If spleen of Human is removed from body then
(A) Animal will die
(B) Number of blood platelets will increase
(C) Number of blood platelets will decrease
(D) There will be no effect on the number of blood platelets"
279,279,279.0,604.0,7/8 CBSE,Biology,Reproduction,Human Reproduction,Spermatozoon (sperm),39155,,Trial,"The enzyme hyaluronidase helps in penetration of sperm in to egg, it is :-
(A) Present in sperm
(B) Present in ovum
(C) Present in sperm \& ovum both
(D) Derived from the external medium"
283,283,283.0,608.0,7/8 CBSE,Biology,Reproduction,Human Reproduction,Steps of fertilization-2,39151,,Trial,"Sperm enters from which part of egg:
(A) Any where in unfertilized egg from vegetal pole
(B) From animal pole in unfertilized egg
(C) In unfertilized egg from vegetal pole
(D) None"
289,289,289.0,633.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Types of pheromones,36027,,Trial,"Bombycol is pheromones which was studied first by
(A) Jhonson
(B) Karlson
(C) Tyson
(D) None"
291,291,291.0,641.0,7/8 CBSE,Biology,Human Physiology,Chemical Coordination and Integration,Endocrine Glands and their Roles - 1,57775,,Trial,"Match the following:
\begin{tabular}{|l|l|}
\hline \multicolumn{1}{|c|} { Hormone } & \multicolumn{1}{|c|} { Function } \\
\hline 1. Parathormone & a. Raise blood glucose level \\
\hline 2. Testes & b. Regulate calcium metabolism \\
\hline 3. Adrenaline & C. Produce testosterone \\
\hline 4. Pancrease (alpha cells) & d. Help body in emergence condition \\
\hline
\end{tabular}
(A) \( (1-d, 2-c, 3-b, 4-a) \)
(B) \( (1-c, 2-a, 3-b, 4-d) \)
(C) \( (1-b, 2-c, 3-d, 4-a) \)
(D) \( \quad(1-a, 2-c, 3-d, 4-b) \)"
293,293,293.0,654.0,7/8 CBSE,Biology,Ecology,Biodiversity and Conservation,Hot spots,55581,,Trial,"How many mega diversity centres present in all over the world?
(A) 5
(B) 7
(C) 10
(D) 17"
297,297,297.0,658.0,7/8 CBSE,Biology,Plant Physiology,Mineral Nutrition,Endosmosis,62758,,Trial,"If a plant cell is immersed in water, the water continues to enter the cell until the :-
(A) Concentration of the salts is the same inside the cells as outside
(B) Cell bursts
(C) Concentration of water is the same inside the cell as out side
(D) Diffusion pressure deficit is the same inside the cell as out side"
311,311,311.0,689.0,7/8 CBSE,Biology,Reproduction,Human Reproduction,Hormonal control ( Male Reproductive System),39356,,Trial,"Spermatogenesis started then increase the secretion of:-
(A) GnRH
(B) LTH
(C) Oxytocin
(D) Relaxin"
313,313,313.0,691.0,7/8 CBSE,Biology,Biology in Human Welfare,Human Health and Disease,Non- communicable Diseases,22902,,Trial,"Which one of the following is a degenerative disease?
(A) Thalassemia
(B) Beri-beri
(C) Cataract
(D) Diabetes"
319,319,319.0,700.0,7/8 CBSE,Biology,Ecology,Organisms and Populations,Birth Rate & Death Rate,61889,,Trial,"Which of the following is false?
In a population birth rate and death rate refer to per capita births and death
(A) respectively
(B) The size of a population for any species is a static parameter
(C) In nature, we rarely find isolated, single individuals of any species
(D) In nature, we rarely find isolated, single individuals of any species"
325,325,325.0,714.0,7/8 CBSE,Biology,Ecology,Biodiversity and Conservation,IUCN,55918,,Trial,"Which one of the following is an extinct species?
(A) Caspian tiger
(B) Snow leopard
(C) Seals
(D) Siberian crane"
333,333,333.0,725.0,7/8 CBSE,Biology,Human Physiology,Breathing and Exchange of Gases,Transportation of Carbon Dioxide-1,64164,,Trial,"If a man from sea coast goes to Everest peak then \( \quad \) [MP PMT 2002]
(A) His breathing and heart beat will increase
(B) His breathing and heart beat will decrease
(C) His respiratory rate will decrease
(D) His heart beat will decrease"
